seed,dataset,variant,variant_label,result_tag,log_path,status,final_avg_acc,final_target_acc,final_retain_avg_acc,global_buffer_avg_acc,global_buffer_target_acc,global_buffer_retain_avg_acc,mia_post_auc,backdoor_post_acc,target_abs_change,others_abs_change_avg,others_rel_change_avg,recovery_stage,full_final_avg_acc,full_final_target_acc,full_final_retain_avg_acc,full_mia_post_auc,delta_vs_full_final_avg_acc,delta_vs_full_final_target_acc,delta_vs_full_final_retain_avg_acc,delta_vs_full_mia_post_auc
42,Cifar10_hetero_clean_s42_severe,full,Full,fu_ablation_full,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_ablation_cifar10_severe/Cifar10_hetero_clean_s42_severe/full.log,complete,0.5434666666666667,0.07133333333333333,0.595925925925926,0.6358666666666667,0.6693333333333333,0.6321481481481482,0.5159591111111111,0.09895833333333333,-0.42466666666666664,0.23051851851851854,2.1771256891868203,removed_external_recovery,0.5434666666666667,0.07133333333333333,0.595925925925926,0.5159591111111111,0.0,0.0,0.0,0.0
42,Cifar10_hetero_clean_s42_severe,wo_h,w/o H,fu_ablation_wo_h,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_ablation_cifar10_severe/Cifar10_hetero_clean_s42_severe/wo_h.log,complete,0.5874666666666667,0.20733333333333334,0.6297037037037037,0.6414,0.692,0.6357777777777778,0.48869688888888885,0.08333333333333333,-0.2886666666666666,0.2642962962962963,2.484521438099215,removed_external_recovery,0.5434666666666667,0.07133333333333333,0.595925925925926,0.5159591111111111,0.04400000000000004,0.136,0.033777777777777684,-0.0272622222222223
42,Cifar10_hetero_clean_s42_severe,wo_a,w/o A,fu_ablation_wo_a,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_ablation_cifar10_severe/Cifar10_hetero_clean_s42_severe/wo_a.log,complete,0.11426666666666667,0.01,0.12585185185185185,0.069,0.015333333333333332,0.07496296296296295,0.5076764444444444,0.4270833333333333,-0.486,-0.23955555555555552,-0.33243014307160124,removed_external_recovery,0.5434666666666667,0.07133333333333333,0.595925925925926,0.5159591111111111,-0.42919999999999997,-0.06133333333333333,-0.4700740740740741,-0.008282666666666771
42,Cifar10_hetero_clean_s42_severe,wo_u_mask,w/o U-mask,fu_ablation_wo_u_mask,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_ablation_cifar10_severe/Cifar10_hetero_clean_s42_severe/wo_u_mask.log,complete,0.19440000000000002,0.013333333333333334,0.21451851851851853,0.16026666666666667,0.015333333333333332,0.1763703703703704,0.5110417777777777,0.09375,-0.4826666666666667,-0.1508888888888889,0.2459976055863215,removed_external_recovery,0.5434666666666667,0.07133333333333333,0.595925925925926,0.5159591111111111,-0.34906666666666664,-0.057999999999999996,-0.3814074074074074,-0.00491733333333344
42,Cifar10_hetero_clean_s42_severe,wo_retain,w/o retain,fu_ablation_wo_retain,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_ablation_cifar10_severe/Cifar10_hetero_clean_s42_severe/wo_retain.log,complete,0.09066666666666666,0.016,0.09896296296296297,0.13453333333333334,0.017333333333333333,0.14755555555555555,0.5199448888888889,0.0,-0.48,-0.2664444444444445,-0.674836109032264,removed_external_recovery,0.5434666666666667,0.07133333333333333,0.595925925925926,0.5159591111111111,-0.4528,-0.05533333333333333,-0.496962962962963,0.003985777777777755
321,Cifar10_hetero_clean_s321_severe,full,Full,fu_ablation_full,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_ablation_cifar10_severe/Cifar10_hetero_clean_s321_severe/full.log,complete,0.7314666666666667,0.048,0.8074074074074074,0.7159333333333333,0.3933333333333333,0.7517777777777778,0.49851911111111114,0.17708333333333334,-0.6233333333333333,0.32355555555555554,2.8382863888645877,removed_external_recovery,0.7314666666666667,0.048,0.8074074074074074,0.49851911111111114,0.0,0.0,0.0,0.0
321,Cifar10_hetero_clean_s321_severe,wo_h,w/o H,fu_ablation_wo_h,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_ablation_cifar10_severe/Cifar10_hetero_clean_s321_severe/wo_h.log,complete,0.7270666666666666,0.04933333333333333,0.8023703703703703,0.7279333333333333,0.4493333333333333,0.758888888888889,0.4997155555555556,0.3125,-0.622,0.3185185185185185,2.961052898695146,removed_external_recovery,0.7314666666666667,0.048,0.8074074074074074,0.49851911111111114,-0.0044000000000000705,0.0013333333333333322,-0.005037037037037062,0.0011964444444444444
321,Cifar10_hetero_clean_s321_severe,wo_a,w/o A,fu_ablation_wo_a,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_ablation_cifar10_severe/Cifar10_hetero_clean_s321_severe/wo_a.log,complete,0.3062666666666667,0.022,0.33785185185185185,0.4043333333333333,0.022,0.4468148148148148,0.5050986666666667,0.375,-0.6493333333333333,-0.146,0.4362755898798215,removed_external_recovery,0.7314666666666667,0.048,0.8074074074074074,0.49851911111111114,-0.4252,-0.026000000000000002,-0.4695555555555555,0.006579555555555561
321,Cifar10_hetero_clean_s321_severe,wo_u_mask,w/o U-mask,fu_ablation_wo_u_mask,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_ablation_cifar10_severe/Cifar10_hetero_clean_s321_severe/wo_u_mask.log,complete,0.4239333333333333,0.016666666666666666,0.46918518518518515,0.5118666666666666,0.030666666666666665,0.5653333333333332,0.4983342222222222,0.20833333333333334,-0.6546666666666666,-0.014666666666666654,0.5886857172540144,removed_external_recovery,0.7314666666666667,0.048,0.8074074074074074,0.49851911111111114,-0.30753333333333344,-0.03133333333333334,-0.3382222222222222,-0.0001848888888889566
321,Cifar10_hetero_clean_s321_severe,wo_retain,w/o retain,fu_ablation_wo_retain,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_ablation_cifar10_severe/Cifar10_hetero_clean_s321_severe/wo_retain.log,complete,0.12273333333333333,0.0,0.13637037037037036,0.32120000000000004,0.0,0.35688888888888887,0.500896,0.0,-0.6713333333333333,-0.3474814814814814,-0.7974260918768424,removed_external_recovery,0.7314666666666667,0.048,0.8074074074074074,0.49851911111111114,-0.6087333333333333,-0.048,-0.671037037037037,0.002376888888888873
