level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,pre_avg_acc_sample_weighted,post_avg_acc_sample_weighted,recovery_avg_acc_sample_weighted,final_avg_acc,final_avg_acc_sample_weighted,pre_standard_global_test_accuracy,post_standard_global_test_accuracy,recovery_standard_global_test_accuracy,final_standard_global_test_accuracy,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_mia_auc,final_backdoor_acc,final_avg_auc,final_avg_auc_sample_weighted,final_standard_global_test_auc
severe,dir,0.1,10,,Cifar10_hetero_clean_s321_severe,fu,FU,fu_severe,complete,0.5025999999999999,0.7375333333333334,0.3465333333333333,0.5026,0.7375333333333334,0.34653333333333336,0.3465333333333333,0.34653333333333336,0.4505,0.7349,0.5149,0.5149,0.6713333333333333,0.04733333333333333,0.008666666666666666,0.48385185185185187,0.8142222222222222,0.38407407407407407,-0.624,-0.9294935451823295,0.33037037037037037,2.9350014855216515,,fu_adaptive_recovery_skipped,0.5203,0.477,0.043300000000000005,0.0,0.0,0.4997,0.125,,,
severe,dir,0.1,10,,Cifar10_hetero_clean_s321_severe,fedau,FedAU,fedau_severe,complete,0.38353333333333334,0.34026666666666666,,0.38353333333333334,0.34026666666666666,,0.34026666666666666,0.34026666666666666,0.3299,0.4932,,0.4932,0.47,0.0026666666666666666,0.0026666666666666666,0.37392592592592594,0.3777777777777778,0.3777777777777778,-0.4673333333333333,-0.9943262411326362,0.0038518518518518546,0.00772662491681859,,skipped_for_fedau,0.5169,0.499,0.017900000000000027,0.0,0.0,0.499,0.0,,,
severe,dir,0.1,10,,Cifar10_hetero_clean_s321_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.5025999999999999,0.6862666666666665,0.5720666666666667,0.5026,0.6862666666666667,0.5720666666666666,0.5720666666666667,0.5720666666666666,0.4505,0.8542,0.4328,0.4328,0.6713333333333333,0.6586666666666666,0.5826666666666667,0.48385185185185187,0.6893333333333334,0.570888888888889,-0.012666666666666715,-0.018867924528273853,0.2054814814814815,1.5879925014056882,-0.11419999999999975,external_server_recovery,0.5203,0.493,0.02729999999999999,0.0,0.0,0.4931,0.0,,,
severe,dir,0.1,10,,Cifar10_hetero_clean_s321_severe,fedosd,FedOSD,fedosd_severe,complete,0.5025999999999999,0.48579999999999995,,0.5026,0.4858,,0.48579999999999995,0.4858,0.4505,0.7198,,0.7198,0.6713333333333333,0.23466666666666666,0.23466666666666666,0.48385185185185187,0.5137037037037038,0.5137037037037038,-0.43666666666666665,-0.650446871895754,0.029851851851851883,0.12728303949518385,,internal_fedosd_post_training,0.5203,0.4821,0.03820000000000001,0.0,0.0,0.4821,0.0,,,
severe,dir,0.1,10,,Cifar10_hetero_clean_s321_severe,retrain,Retrain,retrain_severe,complete,,,,,,,0.4792666666666666,0.4792666666666667,,,,0.6131,,,0.0,,,0.5325185185185185,,,,,,,,,,,,0.4884,0.0,0.853330150617284,0.8533301506172839,0.9074344311111112
