level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,final_avg_acc,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_avg_auc,final_mia_auc,final_backdoor_acc
severe,dir,0.1,20,,Cifar10_clientscale_c20_severe,fu,FU,fu_severe,complete,0.3160069230953947,0.27473980987473173,0.4221111925030888,0.4221111925030888,0.3184656556645852,0.008028545941123996,0.013380909901873328,0.31587751611806886,0.28877724481860584,0.4436233126399949,-0.31043710972346117,-0.9747899159633256,-0.027100271299462995,-0.09641877106939625,0.14737138262835708,fu_adaptive_recovery_round_1,0.5415,0.5099,0.03159999999999996,0.3021,0.0312,,,
severe,dir,0.1,20,,Cifar10_clientscale_c20_severe,fedau,FedAU,fedau_severe,complete,0.28444760986194184,0.3091237562399582,,0.3091237562399582,0.06868867082961641,0.01873327386262266,0.01873327386262266,0.29580334349522214,0.32440746583876534,0.32440746583876534,-0.04995539696699375,-0.7272727272621392,0.02860412234354325,0.1904071238704705,,skipped_for_fedau,0.4619,0.4678,-0.005900000000000016,0.0469,0.0052,,,
severe,dir,0.1,20,,Cifar10_clientscale_c20_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.3160069230953947,0.2955716597925969,0.3023148950180164,0.3023148950180164,0.3184656556645852,0.16681534344335414,0.1801962533452275,0.31587751611806886,0.30234830802150436,0.3087421919481632,-0.15165031222123104,-0.47619047618898097,-0.013529208096564476,-0.0378040216713125,0.006743235225419475,external_server_recovery,0.5415,0.5379,0.0035999999999999366,0.3021,0.099,,,
severe,dir,0.1,20,,Cifar10_clientscale_c20_severe,fedosd,FedOSD,fedosd_severe,complete,0.3160069230953947,0.26599550045605,,0.26599550045605,0.3184656556645852,0.020517395182872437,0.020517395182872437,0.31587751611806886,0.2789154007335857,0.2789154007335857,-0.29794826048171275,-0.9355742296889391,-0.0369621153844831,-0.15434285711897874,,internal_fedosd_post_training,0.5415,0.5282,0.013299999999999979,0.3021,0.0312,,,
severe,dir,0.1,20,,Cifar10_clientscale_c20_severe,retrain,Retrain,retrain_severe,complete,,,,0.294615970208527,,,0.008028545941123996,,,0.3096995188541798,,,,,,,,,,,,0.7122447590014855,0.4865,0.1406
