level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,final_avg_acc,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_avg_auc,final_mia_auc,final_backdoor_acc
severe,dir,0.1,10,,STL10_crossds_converged_r150_severe,fu,FU,fu_severe,complete,0.332206085397997,0.2775487316737024,0.3376787205667369,0.3376787205667369,0.37272727272727274,0.05454545454545454,0.07878787878787878,0.3277037312502997,0.30232687357684107,0.36644436965327676,-0.3181818181818182,-0.8536585365830756,-0.02537685767345868,0.0008894916047234025,0.0601299888930345,fu_adaptive_recovery_round_4,0.5051,0.4855,0.019600000000000006,0.3727,0.1364,,,
severe,dir,0.1,10,,STL10_crossds_converged_r150_severe,fedau,FedAU,fedau_severe,complete,0.34716616675379,0.3146569754188463,,0.3146569754188463,0.3606060606060606,0.11212121212121212,0.11212121212121212,0.34567284521464875,0.3371609491185834,0.3371609491185834,-0.24848484848484848,-0.68907563025019,-0.008511896096065357,-0.02859123378687276,,skipped_for_fedau,0.5149,0.4788,0.03610000000000002,0.3485,0.1545,,,
severe,dir,0.1,10,,STL10_crossds_converged_r150_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.332206085397997,0.3440273768320857,0.341210408954438,0.341210408954438,0.37272727272727274,0.19090909090909092,0.18787878787878787,0.3277037312502997,0.36104051971241846,0.3582472557406214,-0.18181818181818182,-0.48780487804747175,0.033336788462118766,0.11461980979342311,-0.0028169678776476803,external_server_recovery,0.5152,0.5131,0.0020999999999999908,0.3727,0.2333,,,
severe,dir,0.1,10,,STL10_crossds_converged_r150_severe,fedosd,FedOSD,fedosd_severe,complete,0.332206085397997,0.31668482843675194,,0.31668482843675194,0.37272727272727274,0.11212121212121212,0.11212121212121212,0.3277037312502997,0.3394141191384785,0.3394141191384785,-0.2606060606060606,-0.6991869918680429,0.011710387888178794,0.050407575519033604,,internal_fedosd_post_training,0.5152,0.4583,0.056900000000000006,0.3727,0.1121,,,
severe,dir,0.1,10,,STL10_crossds_converged_r150_severe,retrain,Retrain,retrain_severe,complete,,,,0.3175403127845286,,,0.0030303030303030303,,,0.35248586942388704,,,,,,,,,,,,0.7256254871531926,0.4959,0.1545
