level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,final_avg_acc,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_avg_auc,final_mia_auc,final_backdoor_acc
severe,dir,0.1,10,,TinyImagenet_crossds_converged_r150_severe,fu,FU,fu_severe,complete,0.17823111427748278,0.05677664728955713,0.13124916586781546,0.13124916586781546,0.15891167192429023,0.0011829652996845426,0.013801261829652996,0.18037771898339305,0.06295372306620964,0.14429893298316684,-0.1577287066246057,-0.9925558312592627,-0.11742399591718342,-0.6486878761631476,0.07447251857825833,fu_adaptive_recovery_round_5,0.5522,0.4932,0.059,0.1589,0.0182,,,
severe,dir,0.1,10,,TinyImagenet_crossds_converged_r150_severe,fedau,FedAU,fedau_severe,complete,0.1700469858852542,0.16821568275538587,,0.16821568275538587,0.12894321766561515,0.062302839116719244,0.062302839116719244,0.17461407124299186,0.1799837764930155,0.1799837764930155,-0.0666403785488959,-0.5168195718614352,0.0053697052500236335,0.031029124373099053,,skipped_for_fedau,0.5051,0.5124,-0.007299999999999973,0.1667,0.0885,,,
severe,dir,0.1,10,,TinyImagenet_crossds_converged_r150_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.17471465324724925,0.16159165084381338,0.16336967784745546,0.16336967784745546,0.1549684542586751,0.08477917981072555,0.07531545741324921,0.17690867535709082,0.1701263698474898,0.17315348011792284,-0.07689274447949526,-0.47560975609461914,-0.00990282029588833,-0.05561670972325842,0.0017780270036420742,external_server_recovery,0.5503,0.51,0.0403,0.1589,0.0911,,,
severe,dir,0.1,10,,TinyImagenet_crossds_converged_r150_severe,fedosd,FedOSD,fedosd_severe,complete,0.17819346355806237,0.1136152436867,,0.1136152436867,0.16167192429022081,0.019321766561514197,0.019321766561514197,0.1800291901433781,0.12409229670060953,0.12409229670060953,-0.14235015772870663,-0.8804878048726027,-0.05593689344276858,-0.3054799776444614,,internal_fedosd_post_training,0.52,0.5134,0.00660000000000005,0.1875,0.0365,,,
severe,dir,0.1,10,,TinyImagenet_crossds_converged_r150_severe,retrain,Retrain,retrain_severe,complete,,,,0.1626732482787314,,,0.0,,,0.1807480536430349,,,,,,,,,,,,0.8407887807458231,0.51,0.0807
