level,old_result_tag,new_result_tag,final_avg_acc_old,final_avg_acc_new,final_avg_acc_delta,final_target_acc_old,final_target_acc_new,final_target_acc_delta,final_retain_avg_acc_old,final_retain_avg_acc_new,final_retain_avg_acc_delta,post_target_acc_new,recovery_stage_new
mild,fu_mild,fu_mild_adaptive,0.547498067402077,0.5310828504659287,-0.016415216936148225,0.44709388971684055,0.38152011922503726,-0.0655737704918033,0.558654087144881,0.5477009317149167,-0.010953155429964223,0.21087928464977646,fu_adaptive_recovery_round_2
moderate,fu_moderate,fu_moderate_adaptive,0.5676708624548541,0.5528725988422852,-0.014798263612568863,0.47468354430379744,0.40348101265822783,-0.07120253164556961,0.5780027866938604,0.5694716639738472,-0.008531122720013218,0.1060126582278481,fu_adaptive_recovery_round_4
severe,fu_severe,fu_severe_adaptive,0.41361130490946074,0.4489775335914419,0.03536622868198114,0.1956521739130435,0.09420289855072464,-0.10144927536231885,0.43782898613128485,0.4883969374848549,0.05056795135357006,0.021739130434782608,fu_adaptive_recovery_round_1
