level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,pre_avg_acc_sample_weighted,post_avg_acc_sample_weighted,recovery_avg_acc_sample_weighted,final_avg_acc,final_avg_acc_sample_weighted,pre_standard_global_test_accuracy,post_standard_global_test_accuracy,recovery_standard_global_test_accuracy,final_standard_global_test_accuracy,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_mia_auc,final_backdoor_acc,final_avg_auc,final_avg_auc_sample_weighted,final_standard_global_test_auc
severe,dir,0.1,10,,Cifar10_hetero_clean_s321_severe,fu,FU,fu_severe,complete,0.3414,0.33673333333333333,0.3465333333333333,0.3414,0.33673333333333333,0.34653333333333336,0.3465333333333333,0.34653333333333336,0.226,0.3757,0.5149,0.5149,0.5293333333333333,0.011333333333333334,0.008666666666666666,0.32051851851851854,0.37288888888888894,0.38407407407407407,-0.518,-0.9785894206530632,0.052370370370370366,1.3324178939737163,0.009799999999999975,fu_adaptive_recovery_round_5,0.4946,0.4949,-0.00030000000000002247,0.2865,0.0104,0.4997,0.125,,,
severe,dir,0.1,10,,Cifar10_hetero_clean_s321_severe,fedau,FedAU,fedau_severe,complete,0.3217333333333333,0.20780000000000004,,0.3217333333333333,0.2078,,0.20780000000000004,0.2078,0.2298,0.1752,,0.1752,0.554,0.0,0.0,0.2959259259259259,0.23088888888888892,0.23088888888888892,-0.554,-0.999999999998195,-0.06503703703703706,1.695685680495684,,skipped_for_fedau,0.5095,0.4955,0.013999999999999957,0.224,0.0,0.4955,0.0,,,
severe,dir,0.1,10,,Cifar10_hetero_clean_s321_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.3414,0.3360666666666667,0.32026666666666664,0.3414,0.3360666666666667,0.32026666666666664,0.32026666666666664,0.32026666666666664,0.226,0.4826,0.4,0.4,0.5293333333333333,0.0,0.006,0.32051851851851854,0.3734074074074074,0.3551851851851852,-0.5293333333333333,-0.9999999999981108,0.05288888888888888,0.9247919813458476,-0.015800000000000036,external_server_recovery,0.4946,0.5046,-0.010000000000000064,0.2865,0.125,0.4987,0.0833,,,
severe,dir,0.1,10,,Cifar10_hetero_clean_s321_severe,fedosd,FedOSD,fedosd_severe,complete,0.3414,0.31633333333333336,,0.3414,0.31633333333333336,,0.31633333333333336,0.31633333333333336,0.226,0.3687,,0.3687,0.5293333333333333,0.26466666666666666,0.26466666666666666,0.32051851851851854,0.32207407407407407,0.32207407407407407,-0.26466666666666666,-0.4999999999990554,0.001555555555555563,0.19993738794699756,,internal_fedosd_post_training,0.4946,0.5011,-0.006500000000000006,0.2865,0.0938,0.5011,0.0938,,,
severe,dir,0.1,10,,Cifar10_hetero_clean_s321_severe,retrain,Retrain,retrain_severe,complete,,,,,,,0.3090666666666667,0.30906666666666666,,,,0.393,,,0.002,,,0.3431851851851852,,,,,,,,,,,,0.5085,0.0573,0.7628655654320987,0.7628655654320988,0.8342167938888889
