level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,final_avg_acc,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_avg_auc,final_mia_auc,final_backdoor_acc
severe,dir,0.1,50,,Cifar10_clientscale_c50_severe,fu,FU,fu_severe,complete,0.2470236176089331,0.17956145002329926,0.32065538890304673,0.32065538890304673,0.16346153846153846,0.022435897435897436,0.11538461538461539,0.2487289661629616,0.1827680939536544,0.32484458836260655,-0.14102564102564102,-0.8627450980339376,-0.06596087220930719,0.22073641282609568,0.14109393887974747,fu_adaptive_recovery_round_1,0.5051,0.5374,-0.032299999999999995,0.0677,0.1615,,,
severe,dir,0.1,50,,Cifar10_clientscale_c50_severe,fedau,FedAU,fedau_severe,complete,0.24658431966014646,0.22850611387575287,,0.22850611387575287,0.21474358974358973,0.01282051282051282,0.01282051282051282,0.2472341304747701,0.2329078608360639,0.2329078608360639,-0.2019230769230769,-0.9402985074583078,-0.0143262696387062,0.16156271674848174,,skipped_for_fedau,0.4617,0.4847,-0.02300000000000002,0.0625,0.0052,,,
severe,dir,0.1,50,,Cifar10_clientscale_c50_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.2470236176089331,0.2592212613155717,0.22819695640361357,0.22819695640361357,0.16346153846153846,0.3333333333333333,0.38782051282051283,0.2487289661629616,0.25770877004990306,0.22493933280326864,0.16987179487179485,1.039215686268152,0.0089798038869415,0.49708027356182344,-0.03102430491195815,external_server_recovery,0.5051,0.5058,-0.0007000000000000339,0.0677,0.4062,,,
severe,dir,0.1,50,,Cifar10_clientscale_c50_severe,fedosd,FedOSD,fedosd_severe,complete,0.2470236176089331,0.24303045301514714,,0.24303045301514714,0.16346153846153846,0.13141025641025642,0.13141025641025642,0.2487289661629616,0.2453084162111653,0.2453084162111653,-0.03205128205128205,-0.19607843137134945,-0.0034205499517962596,-0.03706414882959302,,internal_fedosd_post_training,0.5051,0.5282,-0.02310000000000001,0.0677,0.0469,,,
severe,dir,0.1,50,,Cifar10_clientscale_c50_severe,retrain,Retrain,retrain_severe,complete,,,,0.25271298342516657,,,0.05128205128205128,,,0.256823818775026,,,,,,,,,,,,0.7015717071260537,0.487,0.4115
