level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,final_avg_acc,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_avg_auc,final_mia_auc,final_backdoor_acc,dataset_base,dataset_display
severe,dir,0.1,2,,TinyImagenet_crossds_severe,fu,FU,fu_severe,complete,0.0051871359029606575,0.00463418164811732,0.005426737360951896,0.005426737360951896,0.0,0.002325581395348837,8.019246190858059e-05,0.010374271805921315,0.006942781900885803,0.010773282259995211,0.002325581395348837,2325581395.3488374,-0.003431489905035512,-0.33076923073734715,0.0007925557128345764,fu_adaptive_recovery_round_3,0.4869,0.4977,-0.010799999999999976,0.0,0.0,,,,TinyImagenet,Tiny-ImageNet
severe,dir,0.1,2,,TinyImagenet_crossds_severe,fedau,FedAU,fedau_severe,complete,0.006717624173365211,0.005235234741337873,,0.005235234741337873,0.005854049719326383,0.003368083400160385,0.003368083400160385,0.007581198627404038,0.007102386082515362,0.007102386082515362,-0.0024859663191659984,-0.4246575341740345,-0.0004788125448886762,-0.06315789472851126,,skipped_for_fedau,0.5043,0.5,0.0042999999999999705,0.0052,0.0026,,,,TinyImagenet,Tiny-ImageNet
severe,dir,0.1,2,,TinyImagenet_crossds_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.0051871359029606575,0.006583672492219296,0.007837586042428731,0.007837586042428731,0.0,0.0,0.0069767441860465115,0.010374271805921315,0.013167344984438592,0.00869842789881095,0.0,0.0,0.0027930731785172774,0.2692307692048175,0.001253913550209435,external_server_recovery,0.4981,0.4888,0.009299999999999975,0.0,0.0052,,,,TinyImagenet,Tiny-ImageNet
severe,dir,0.1,2,,TinyImagenet_crossds_severe,fedosd,FedOSD,fedosd_severe,complete,0.0051871359029606575,0.0051871359029606575,,0.0051871359029606575,0.0,0.0,0.0,0.010374271805921315,0.010374271805921315,0.010374271805921315,0.0,0.0,0.0,0.0,,internal_fedosd_post_training,0.4981,0.4992,-0.0010999999999999899,0.0,0.0,,,,TinyImagenet,Tiny-ImageNet
severe,dir,0.1,2,,TinyImagenet_crossds_severe,retrain,Retrain,retrain_severe,complete,,,,0.0056508359668983234,,,0.010184442662389735,,,0.0011172292714069108,,,,,,,,,,,,0.5010938173215824,0.5,0.0078,TinyImagenet,Tiny-ImageNet
severe,dir,0.1,2,,STL10_crossds_severe,fu,FU,fu_severe,complete,0.11559338846390968,0.11508383437253283,,0.11508383437253283,0.09547738693467336,0.0005583472920156337,0.0005583472920156337,0.135709389993146,0.22960932145305005,0.22960932145305005,-0.09491903964265773,-0.9941520467732132,0.09389993145990405,0.6919191919140933,,fu_adaptive_recovery_skipped,0.5067,0.5101,-0.0033999999999999586,0.1042,0.0026,,,,STL10,STL-10
severe,dir,0.1,2,,STL10_crossds_severe,fedau,FedAU,fedau_severe,complete,0.11559338846390968,0.11559338846390968,,0.11559338846390968,0.09547738693467336,0.09547738693467336,0.09547738693467336,0.135709389993146,0.135709389993146,0.135709389993146,0.0,0.0,0.0,0.0,,skipped_for_fedau,0.5067,0.5204,-0.013699999999999934,0.1042,0.1042,,,,STL10,STL-10
severe,dir,0.1,2,,STL10_crossds_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.11559338846390968,0.11663182258103402,0.12840724833519512,0.12840724833519512,0.09547738693467336,0.005025125628140704,0.034059184812953655,0.135709389993146,0.22823851953392735,0.2227553118574366,-0.09045226130653267,-0.9473684210427091,0.09252912954078135,0.6818181818131577,0.0117754257541611,external_server_recovery,0.4936,0.4901,0.003500000000000003,0.1042,0.0312,,,,STL10,STL-10
severe,dir,0.1,2,,STL10_crossds_severe,fedosd,FedOSD,fedosd_severe,complete,0.11559338846390968,0.11508383437253283,,0.11508383437253283,0.09547738693467336,0.0005583472920156337,0.0005583472920156337,0.135709389993146,0.22960932145305005,0.22960932145305005,-0.09491903964265773,-0.9941520467732132,0.09389993145990405,0.6919191919140933,,internal_fedosd_post_training,0.4936,0.5025,-0.008899999999999963,0.1042,0.0026,,,,STL10,STL-10
severe,dir,0.1,2,,STL10_crossds_severe,retrain,Retrain,retrain_severe,complete,,,,0.11508383437253283,,,0.0005583472920156337,,,0.22960932145305005,,,,,,,,,,,,0.5343838579878109,0.5,0.0026,STL10,STL-10
