level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,final_avg_acc,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_avg_auc,final_mia_auc,final_backdoor_acc
severe,dir,0.1,2,,GTSRB_crossds_severe,fu,FU,fu_severe,complete,0.05397265756276138,0.05397265756276138,0.061390063254892116,0.061390063254892116,0.10732096548972671,0.10732096548972671,0.00019948134849391582,0.0006243496357960458,0.0006243496357960458,0.12258064516129032,0.0,0.0,0.0,0.0,0.007417405692130737,fu_adaptive_recovery_round_5,0.4862,0.5022,-0.01599999999999996,0.1016,0.0,,,
severe,dir,0.1,2,,GTSRB_crossds_severe,fedau,FedAU,fedau_severe,complete,0.05397265756276138,0.05397265756276138,,0.05397265756276138,0.10732096548972671,0.10732096548972671,0.10732096548972671,0.0006243496357960458,0.0006243496357960458,0.0006243496357960458,0.0,0.0,0.0,0.0,,skipped_for_fedau,0.4862,0.5165,-0.030299999999999938,0.1016,0.1016,,,
severe,dir,0.1,2,,GTSRB_crossds_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.05397265756276138,0.09470170480787414,0.08556655920413378,0.08556655920413378,0.10732096548972671,0.04767604229004588,0.003391182924396569,0.0006243496357960458,0.1417273673257024,0.16774193548387098,-0.05964492319968083,-0.555762081779208,0.14110301768990635,225.99999963802335,-0.00913514560374036,external_server_recovery,0.4838,0.4918,-0.008000000000000007,0.1016,0.0,,,
severe,dir,0.1,2,,GTSRB_crossds_severe,fedosd,FedOSD,fedosd_severe,complete,0.05397265756276138,0.010301768990634756,,0.010301768990634756,0.10732096548972671,0.0,0.0,0.0006243496357960458,0.02060353798126951,0.02060353798126951,-0.10732096548972671,-0.9999999999906821,0.019979188345473464,31.999999948746666,,internal_fedosd_post_training,0.4838,0.4898,-0.006000000000000005,0.1016,0.0,,,
severe,dir,0.1,2,,GTSRB_crossds_severe,retrain,Retrain,retrain_severe,complete,,,,0.04379126238481301,,,0.0007979253939756633,,,0.08678459937565036,,,,,,,,,,,,0.5297620982745131,0.5163,0.0
