level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,pre_avg_acc_sample_weighted,post_avg_acc_sample_weighted,recovery_avg_acc_sample_weighted,final_avg_acc,final_avg_acc_sample_weighted,pre_standard_global_test_accuracy,post_standard_global_test_accuracy,recovery_standard_global_test_accuracy,final_standard_global_test_accuracy,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_mia_auc,final_backdoor_acc,final_avg_auc,final_avg_auc_sample_weighted,final_standard_global_test_auc
severe,dir,0.1,10,,TinyImagenet_hetero_clean_s42_severe,fu,FU,fu_severe,complete,0.31192,0.36784,,0.31192,0.36784,,0.36784,0.36784,,,,,0.2764,0.118,0.118,0.3158666666666667,0.39560000000000006,0.39560000000000006,-0.15839999999999999,-0.5730824891440917,0.07973333333333334,0.25995343374254054,,removed_external_recovery,0.5907,0.5267,0.06400000000000006,0.0,0.0,0.5267,0.0,,,
severe,dir,0.1,10,,TinyImagenet_hetero_clean_s42_severe,fedau,FedAU,fedau_severe,complete,0.28804,0.26580000000000004,,0.28804,0.2658,,0.26580000000000004,0.2658,,,,,0.2376,0.0656,0.0656,0.2936444444444445,0.2880444444444445,0.2880444444444445,-0.172,-0.723905723902677,-0.005599999999999997,-0.0181605065802692,,skipped_for_fedau,0.5581,0.5375,0.020600000000000063,0.0,0.0,0.5375,0.0,,,
severe,dir,0.1,10,,TinyImagenet_hetero_clean_s42_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.31192,0.36495999999999995,,0.31192,0.36496,,0.36495999999999995,0.36496,,,,,0.2764,0.1228,0.1228,0.3158666666666667,0.39186666666666664,0.39186666666666664,-0.15359999999999996,-0.5557163531094221,0.07600000000000001,0.2480825460934851,,skipped_for_fedcsa,0.5907,0.5688,0.02190000000000003,0.0,0.0,0.5688,0.0,,,
severe,dir,0.1,10,,TinyImagenet_hetero_clean_s42_severe,fedosd,FedOSD,fedosd_severe,complete,0.31192,0.30476000000000003,,0.31192,0.30476,,0.30476000000000003,0.30476,,,,,0.2764,0.216,0.216,0.3158666666666667,0.3146222222222222,0.3146222222222222,-0.06039999999999998,-0.21852387843625712,-0.001244444444444437,-0.004517974964968468,,internal_fedosd_post_training,0.5907,0.571,0.01970000000000005,0.0,0.0,0.571,0.0,,,
severe,dir,0.1,10,,TinyImagenet_hetero_clean_s42_severe,retrain,Retrain,retrain_severe,complete,,,,,,,0.27388,0.27388,,,,,,,0.0,,,0.3043111111111111,,,,,,,,,,,,0.5124,0.0,0.8668995169447236,0.8668995169447238,
