level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,pre_avg_acc_sample_weighted,post_avg_acc_sample_weighted,recovery_avg_acc_sample_weighted,final_avg_acc,final_avg_acc_sample_weighted,pre_standard_global_test_accuracy,post_standard_global_test_accuracy,recovery_standard_global_test_accuracy,final_standard_global_test_accuracy,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_mia_auc,final_backdoor_acc,final_avg_auc,final_avg_auc_sample_weighted,final_standard_global_test_auc
severe,dir,0.1,10,,GTSRB_hetero_clean_s42_severe,fu,FU,fu_severe,complete,0.9664969450101835,0.8942973523421589,,0.9664969450101834,0.8942973523421589,,0.8942973523421589,0.8942973523421589,,,,,0.9429735234215886,0.41140529531568226,0.41140529531568226,0.9691106585200272,0.9479520253451008,0.9479520253451008,-0.5315682281059063,-0.5637149028071776,-0.02115863317492645,-0.021294261183530803,,removed_external_recovery,0.5082,0.4769,0.031299999999999994,0.0,0.0,0.4769,0.0,,,
severe,dir,0.1,10,,GTSRB_hetero_clean_s42_severe,fedau,FedAU,fedau_severe,complete,0.7640529531568229,0.6415478615071282,,0.7640529531568228,0.6415478615071283,,0.6415478615071282,0.6415478615071283,,,,,0.814663951120163,0.008146639511201629,0.008146639511201629,0.758429508938674,0.7119257750622312,0.7119257750622312,-0.8065173116089613,-0.9899999999987847,-0.04650373387644264,-0.058981105725020654,,skipped_for_fedau,0.5075,0.4853,0.022199999999999942,0.0,0.0,0.4853,0.0,,,
severe,dir,0.1,10,,GTSRB_hetero_clean_s42_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.9664969450101835,0.9659877800407332,,0.9664969450101834,0.9659877800407332,,0.9659877800407332,0.9659877800407332,,,,,0.9429735234215886,0.7260692464358453,0.7260692464358453,0.9691106585200272,0.9926453948857207,0.9926453948857207,-0.21690427698574333,-0.23002159827189425,0.02353473636569361,0.025038899187011507,,skipped_for_fedcsa,0.5082,0.4922,0.01599999999999996,0.0,0.0,0.4922,0.0,,,
severe,dir,0.1,10,,GTSRB_hetero_clean_s42_severe,fedosd,FedOSD,fedosd_severe,complete,0.9664969450101835,0.8357433808553971,,0.9664969450101834,0.8357433808553971,,0.8357433808553971,0.8357433808553971,,,,,0.9429735234215886,0.2953156822810591,0.2953156822810591,0.9691106585200272,0.8957909029192125,0.8957909029192125,-0.6476578411405295,-0.686825053994952,-0.07331975560081466,-0.07804082939643046,,internal_fedosd_post_training,0.5082,0.4956,0.0126,0.0,0.0,0.4956,0.0,,,
severe,dir,0.1,10,,GTSRB_hetero_clean_s42_severe,retrain,Retrain,retrain_severe,complete,,,,,,,0.8197556008146639,0.8197556008146639,,,,,,,0.0,,,0.9108395564607377,,,,,,,,,,,,0.5108,0.0,0.94171050196328,0.9417105019632801,
